;SF - UGS Rehden;SF - UGS Kraak;SF - UGS Stassfurt;SF - UGS Harsefeld;SF - UGS Breitbrunn;SF - UGS Epe Uniper H-Gas;SF - UGS Eschenfelden;SF - UGS Inzenham-West;SF - UGS Bierwang;SF - UGS Jemgum H (EWE);SF - UGS Peckensen;SF - UGS Etzel ESE (Uniper Ener
recall;0.9222222222222223;0.7741935483870968;0.8928571428571429;0.5;0.9047619047619048;0.7205882352941176;0.8108108108108109;0.821917808219178;0.7622950819672131;0.9054054054054054;0.6195652173913043;0.8857142857142857
neg_recall;0.9273743016759777;0.6486486486486487;0.8680555555555556;0.8723404255319149;0.9236111111111112;0.8448275862068966;0.9375;0.8888888888888888;0.93;0.9571428571428572;0.9344262295081968;0.7701863354037267
confusion;"[[208  13]
 [ 14 166]]";"[[273  39]
 [ 21  72]]";"[[246  19]
 [ 15 125]]";"[[285   6]
 [ 41  41]]";"[[247  11]
 [ 14 133]]";"[[251  18]
 [ 38  98]]";"[[366   2]
 [  7  30]]";"[[244  15]
 [ 26 120]]";"[[276   7]
 [ 29  93]]";"[[243   6]
 [ 14 134]]";"[[277   4]
 [ 35  57]]";"[[227  37]
 [ 16 124]]"
precision;0.9273743016759777;0.6486486486486487;0.8680555555555556;0.8723404255319149;0.9236111111111112;0.8448275862068966;0.9375;0.8888888888888888;0.93;0.9571428571428572;0.9344262295081968;0.7701863354037267
neg_precision;0.9222222222222223;0.7741935483870968;0.8928571428571429;0.5;0.9047619047619048;0.7205882352941176;0.8108108108108109;0.821917808219178;0.7622950819672131;0.9054054054054054;0.6195652173913043;0.8857142857142857
roc;0.9732528908999497;0.8732078853046595;0.9545013477088948;0.8878551672114657;0.9768232874545166;0.9060791602886509;0.9629112808460635;0.9458666102501719;0.9413195852401088;0.9822533376750244;0.9407009128887514;0.9303300865800866
class_mod;LogisticRegression();LogisticRegression();LogisticRegression();LogisticRegression();LogisticRegression();LogisticRegression();LogisticRegression();LogisticRegression();LogisticRegression();LogisticRegression();LogisticRegression();LogisticRegression()
